departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,EK,5010,LHR,DXB,LANDED,1517486100,1517486460,1517511900,1517510880
2018-02-01,IB,4649,LHR,BWI,LANDED,1517498100,1517498940,1517527800,1517529720
2018-02-01,NZ,4292,LHR,AUH,LANDED,1517475600,1517475840,1517502300,1517500080
2018-02-01,KE,503,LHR,CDG,LANDED,1517515800,1517516820,1517520900,1517521140
2018-02-01,JJ,2861,LHR,GVA,LANDED,1517504700,1517504460,1517511000,1517510220
2018-02-01,UA,8203,LHR,YYZ,LANDED,1517475600,1517475420,1517503500,1517504520
2018-02-01,JL,7127,LHR,BHD,LANDED,1517489400,1517488920,1517494500,1517493900
2018-02-01,MH,9463,LHR,JFK,LANDED,1517505300,1517504400,1517534700,1517534460
2018-02-01,AA,6570,LHR,KEF,LANDED,1517482800,1517482740,1517494800,1517495940
2018-02-01,VS,21,LHR,IAD,LANDED,1517481900,1517482260,1517513400,1517514900
2018-02-01,JJ,2802,LHR,NCL,LANDED,1517506200,1517506020,1517510400,1517510580
2018-02-01,GA,87,LHR,CGK,LANDED,1517522100,1517523660,1517572500,1517572800
2018-02-01,AY,5517,LHR,JFK,LANDED,1517473500,1517475060,1517502600,1517504400
2018-02-01,UA,7251,LHR,JNB,LANDED,1517508300,1517508180,1517548500,1517548440
2018-02-01,KQ,1000,LHR,AMS,LANDED,1517466600,1517466600,1517472000,1517471100
2018-02-01,AA,6168,LHR,IAD,LANDED,1517484600,1517484480,1517514900,1517515560
2018-02-01,AA,6373,LHR,EDI,LANDED,1517503200,1517503020,1517508300,1517508120
2018-02-01,IB,7535,LHR,EDI,LANDED,1517494200,1517494920,1517499300,1517500320
2018-02-01,RJ,3013,LHR,OSL,LANDED,1517501100,1517500800,1517509200,1517508600
2018-02-01,IB,4261,LHR,LAX,LANDED,1517485200,1517484900,1517526600,1517526600
2018-02-01,RO,392,LHR,OTP,LANDED,1517496600,1517497380,1517508300,1517508300
2018-02-01,BA,446,LHR,AMS,LANDED,1517494200,1517493600,1517499000,1517498520
2018-02-01,IB,4671,LHR,SFO,LANDED,1517497500,1517497800,1517538000,1517538060
2018-02-01,BA,1545,LHR,LAX,LANDED,1517485200,1517484900,1517526600,1517526600
2018-02-01,SQ,2660,LHR,OSL,LANDED,1517480400,1517480520,1517488200,1517488620
2018-02-01,UA,7648,LHR,BHD,LANDED,1517497800,1517498460,1517502900,1517503020
2018-02-01,SA,7959,LHR,SVG,LANDED,1517486700,1517486340,1517493300,1517492460
2018-02-01,BA,676,LHR,IST,LANDED,1517477700,1517477880,1517491800,1517491620
2018-02-01,AA,6408,LHR,KEF,LANDED,1517475300,1517476020,1517487000,1517488380
2018-02-01,BA,404,LHR,BRU,LANDED,1517509800,1517510040,1517514000,1517514300
2018-02-01,BI,98,LHR,DXB,LANDED,1517504700,1517505960,1517529660,1517528520
2018-02-01,BA,125,LHR,BAH,LANDED,1517489100,1517489580,1517512800,1517512380
2018-02-01,CX,7123,LHR,PRG,LANDED,1517512800,1517512680,1517520000,1517519640
2018-02-01,AA,6542,LHR,DUB,LANDED,1517504100,1517503800,1517509200,1517508840
2018-02-01,NH,7841,LHR,BOG,LANDED,1517522700,1517523060,1517559300,1517560920
2018-02-01,AA,7978,LHR,DOH,LANDED,null,1517517120,1517539020,1517540340
2018-02-01,AZ,247,LHR,LIN,LANDED,1517515200,1517515020,1517522100,1517521440
2018-02-01,XY,3018,LHR,AUH,LANDED,1517515200,1517515080,1517541300,1517539860
2018-02-01,GA,9057,LHR,AUH,LANDED,1517475600,1517475840,1517502300,1517500080
2018-02-01,JJ,2855,LHR,FCO,LANDED,1517509200,1517509560,1517518500,1517519580
2018-02-01,UA,8884,LHR,MUC,LANDED,1517470800,1517471820,1517477100,1517478900
2018-02-01,BA,9,LHR,BKK,LANDED,1517497500,1517497980,1517538300,1517538360
2018-02-01,AA,6394,LHR,LCA,LANDED,1517485200,1517486220,1517502000,1517502360
2018-02-01,BA,1396,LHR,MAN,LANDED,1517498100,1517498040,1517502000,1517502240
2018-02-01,IB,4642,LHR,BOS,LANDED,1517512500,1517512380,1517539500,1517540460
2018-02-01,4U,8463,LHR,TXL,LANDED,1517495700,1517496240,1517502300,1517501040
2018-02-01,JL,7733,LHR,LIS,LANDED,1517512500,1517515620,1517522100,1517523000
2018-02-01,BA,1402,LHR,MAN,LANDED,1517509500,1517509380,1517513400,1517513340
2018-02-01,BA,806,LHR,BLL,LANDED,1517496600,1517496780,1517502900,1517502840
2018-02-01,AY,5459,LHR,LAX,LANDED,1517499000,1517500200,1517539800,1517540340
2018-02-01,AY,5902,LHR,OSL,LANDED,1517469900,1517469780,1517478000,1517480340
2018-02-01,BA,440,LHR,AMS,LANDED,1517502300,1517502240,1517507100,1517506860
2018-02-01,AA,6679,LHR,LUX,LANDED,1517498400,1517498640,1517503500,1517503140
2018-02-01,IB,4638,LHR,BOS,LANDED,1517483700,1517483760,1517511300,1517511960
2018-02-01,JL,7703,LHR,MAD,LANDED,1517503200,1517505480,1517511900,1517513580
2018-02-01,RJ,3009,LHR,ARN,LANDED,1517514900,1517514780,1517524200,1517523900
2018-02-01,BA,1542,LHR,ORD,LANDED,1517474400,1517473440,1517505900,1517505720
